SCREEN_ID	SOURCE_ID	SOURCE_TYPE	AUTHOR	SCREEN_NAME	SCORES_SIZE	FULL_SIZE	FULL_SIZE_AVAILABLE	NUMBER_OF_HITS	ANALYSIS	SIGNIFICANCE_INDICATOR	SIGNIFICANCE_CRITERIA	THROUGHPUT	SCREEN_TYPE	SCREEN_FORMAT	EXPERIMENTAL_SETUP	DURATION	CONDITION_NAME	CONDITION_DOSAGE	MOI	LIBRARY	LIBRARY_TYPE	LIBRARY_METHODOLOGY	ENZYME	CELL_LINE	CELL_TYPE	PHENOTYPE	SCORE_COL_COUNT	SCORE.1_TYPE	SCORE.2_TYPE	SCORE.3_TYPE	SCORE.4_TYPE	SCORE.5_TYPE	ORGANISM_ID	ORGANISM_OFFICIAL	NOTES	SOURCE	SCREEN_RATIONALE
68	28162770	pubmed	Wang T (2017)	3-PMID28162770	18663	18663	Yes	3486	Log2 Fold Change (L2FC)	Score Significance	Score.1 (CRISPR Score (CS)) < -1.0	High Throughput	Negative Selection	Pool	Timecourse	14 Doublings	-	-	-	Focused Ras Synthetic Lethal Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	MOLM-13	Acute Myeloid Leukemia Cell Line	cell proliferation	1	CRISPR Score (CS)	-	-	-	-	9606	H. sapiens	The Wang et al., 2017 library contains the Wang et al., 2015 library + a sub-library targeting 497 additional protein-coding genes	BioGRID ORCS	Cell-essential genes
69	28162770	pubmed	Wang T (2017)	4-PMID28162770	18663	18663	Yes	1925	Log2 Fold Change (L2FC)	Score Significance	Score.1 (CRISPR Score (CS)) < -1.0	High Throughput	Negative Selection	Pool	Timecourse	14 Doublings	-	-	-	Focused Ras Synthetic Lethal Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	Mono-Mac-1	Monocytic Leukemia Cell Line	cell proliferation	1	CRISPR Score (CS)	-	-	-	-	9606	H. sapiens	The Wang et al., 2017 library contains the Wang et al., 2015 library + a sub-library targeting 497 additional protein-coding genes	BioGRID ORCS	Cell-essential genes
70	28162770	pubmed	Wang T (2017)	5-PMID28162770	18663	18663	Yes	2512	Log2 Fold Change (L2FC)	Score Significance	Score.1 (CRISPR Score (CS)) < -1.0	High Throughput	Negative Selection	Pool	Timecourse	14 Doublings	-	-	-	Focused Ras Synthetic Lethal Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	MV4-11	Acute Myeloid Leukemia Cell Line	cell proliferation	1	CRISPR Score (CS)	-	-	-	-	9606	H. sapiens	The Wang et al., 2017 library contains the Wang et al., 2015 library + a sub-library targeting 497 additional protein-coding genes	BioGRID ORCS	Cell-essential genes
71	28162770	pubmed	Wang T (2017)	6-PMID28162770	18663	18663	Yes	1935	Log2 Fold Change (L2FC)	Score Significance	Score.1 (CRISPR Score (CS)) < -1.0	High Throughput	Negative Selection	Pool	Timecourse	14 Doublings	-	-	-	Focused Ras Synthetic Lethal Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	NB-4	Acute Myeloid Leukemia Cell Line	cell proliferation	1	CRISPR Score (CS)	-	-	-	-	9606	H. sapiens	The Wang et al., 2017 library contains the Wang et al., 2015 library + a sub-library targeting 497 additional protein-coding genes	BioGRID ORCS	Cell-essential genes
72	28162770	pubmed	Wang T (2017)	7-PMID28162770	18663	18663	Yes	2459	Log2 Fold Change (L2FC)	Score Significance	Score.1 (CRISPR Score (CS)) < -1.0	High Throughput	Negative Selection	Pool	Timecourse	14 Doublings	-	-	-	Focused Ras Synthetic Lethal Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	NB-4	Acute Myeloid Leukemia Cell Line	cell proliferation	1	CRISPR Score (CS)	-	-	-	-	9606	H. sapiens	The Wang et al., 2017 library contains the Wang et al., 2015 library + a sub-library targeting 497 additional protein-coding genes	BioGRID ORCS	Cell-essential genes
73	28162770	pubmed	Wang T (2017)	8-PMID28162770	18663	18663	Yes	2389	Log2 Fold Change (L2FC)	Score Significance	Score.1 (CRISPR Score (CS)) < -1.0	High Throughput	Negative Selection	Pool	Timecourse	14 Doublings	-	-	-	Focused Ras Synthetic Lethal Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	OCI-AML2	Acute Myeloid Leukemia Cell Line	cell proliferation	1	CRISPR Score (CS)	-	-	-	-	9606	H. sapiens	The Wang et al., 2017 library contains the Wang et al., 2015 library + a sub-library targeting 497 additional protein-coding genes	BioGRID ORCS	Cell-essential genes
74	28162770	pubmed	Wang T (2017)	9-PMID28162770	18663	18663	Yes	2150	Log2 Fold Change (L2FC)	Score Significance	Score.1 (CRISPR Score (CS)) < -1.0	High Throughput	Negative Selection	Pool	Timecourse	14 Doublings	-	-	-	Focused Ras Synthetic Lethal Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	OCI-AML3	Acute Myeloid Leukemia Cell Line	cell proliferation	1	CRISPR Score (CS)	-	-	-	-	9606	H. sapiens	The Wang et al., 2017 library contains the Wang et al., 2015 library + a sub-library targeting 497 additional protein-coding genes	BioGRID ORCS	Cell-essential genes
75	28162770	pubmed	Wang T (2017)	10-PMID28162770	18663	18663	Yes	2951	Log2 Fold Change (L2FC)	Score Significance	Score.1 (CRISPR Score (CS)) < -1.0	High Throughput	Negative Selection	Pool	Timecourse	14 Doublings	-	-	-	Focused Ras Synthetic Lethal Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	OCI-AML5	Acute Myeloid Leukemia Cell Line	cell proliferation	1	CRISPR Score (CS)	-	-	-	-	9606	H. sapiens	The Wang et al., 2017 library contains the Wang et al., 2015 library + a sub-library targeting 497 additional protein-coding genes	BioGRID ORCS	Cell-essential genes
76	28162770	pubmed	Wang T (2017)	11-PMID28162770	18663	18663	Yes	2312	Log2 Fold Change (L2FC)	Score Significance	Score.1 (CRISPR Score (CS)) < -1.0	High Throughput	Negative Selection	Pool	Timecourse	14 Doublings	-	-	-	Focused Ras Synthetic Lethal Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	P31/FUJ	Lymphoma or Leukaemia Cell Line	cell proliferation	1	CRISPR Score (CS)	-	-	-	-	9606	H. sapiens	The Wang et al., 2017 library contains the Wang et al., 2015 library + a sub-library targeting 497 additional protein-coding genes	BioGRID ORCS	Cell-essential genes
77	28162770	pubmed	Wang T (2017)	20-PMID28162770	18663	18663	Yes	2039	Log2 Fold Change (L2FC)	Score Significance	Score.1 (CRISPR Score (CS)) < -1.0	High Throughput	Negative Selection	Pool	Timecourse	14 Doublings	-	-	-	Focused Ras Synthetic Lethal Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	PL-21	Lymphoma or Leukaemia Cell Line	cell proliferation	1	CRISPR Score (CS)	-	-	-	-	9606	H. sapiens	The Wang et al., 2017 library contains the Wang et al., 2015 library + a sub-library targeting 497 additional protein-coding genes	BioGRID ORCS	Cell-essential genes
78	28162770	pubmed	Wang T (2017)	12-PMID28162770	18663	18663	Yes	2110	Log2 Fold Change (L2FC)	Score Significance	Score.1 (CRISPR Score (CS)) < -1.0	High Throughput	Negative Selection	Pool	Timecourse	14 Doublings	-	-	-	Focused Ras Synthetic Lethal Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	SKM-1	Lymphoma or Leukaemia Cell Line	cell proliferation	1	CRISPR Score (CS)	-	-	-	-	9606	H. sapiens	The Wang et al., 2017 library contains the Wang et al., 2015 library + a sub-library targeting 497 additional protein-coding genes	BioGRID ORCS	Cell-essential genes
79	28162770	pubmed	Wang T (2017)	13-PMID28162770	18663	18663	Yes	3487	Log2 Fold Change (L2FC)	Score Significance	Score.1 (CRISPR Score (CS)) < -1.0	High Throughput	Negative Selection	Pool	Timecourse	14 Doublings	-	-	-	Focused Ras Synthetic Lethal Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	TF-1	Erythroleukemia Cell Line	cell proliferation	1	CRISPR Score (CS)	-	-	-	-	9606	H. sapiens	The Wang et al., 2017 library contains the Wang et al., 2015 library + a sub-library targeting 497 additional protein-coding genes	BioGRID ORCS	Cell-essential genes
80	28162770	pubmed	Wang T (2017)	14-PMID28162770	18663	18663	Yes	2826	Log2 Fold Change (L2FC)	Score Significance	Score.1 (CRISPR Score (CS)) < -1.0	High Throughput	Negative Selection	Pool	Timecourse	14 Doublings	-	-	-	Focused Ras Synthetic Lethal Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	THP-1	Monocytic Leukemia Cell Line	cell proliferation	1	CRISPR Score (CS)	-	-	-	-	9606	H. sapiens	The Wang et al., 2017 library contains the Wang et al., 2015 library + a sub-library targeting 497 additional protein-coding genes	BioGRID ORCS	Cell-essential genes
85	28145866	pubmed	Krall EB (2017)	1-PMID28145866	20506	20506	Yes	40	STARS	Score Significance	Score.3 (FDR) < 0.1	High Throughput	Positive Selection	Pool	Drug Exposure	21 Days	Trametinib	24.0 nM	-	GECKO v2	CRISPRn	Knockout	Cas9	HCC0364	Lung Cancer Cell Line	response to chemicals	4	STARS Score	p-Value	FDR	q-Value	-	9606	H. sapiens	Phenotypic readout: cell proliferation	BioGRID ORCS	Increased drug resistance
89	28611215	pubmed	Fei T (2017)	1-PMID28611215	21812	21812	Yes	1991	MaGeCK	Score Significance	Score.1 (MaGeCK Score) <= 0.008592 OR Score.3 (MaGeCK Score) <= 0.0099839	High Throughput	Positive and Negative Selection	Pool	Timecourse	14 Days	-	-	= 0.5	GECKO v2	CRISPRn	Knockout	Cas9	LNCaP	Prostate Cancer Cell Line	cell proliferation	4	MaGeCK Score	p-Value	MaGeCK Score	p-Value	-	9606	H. sapiens	Genes with a significant negative MAGeCK score are cell-essential genes in the LNCaP cell line, their KO results in decreased proliferation|Genes with a significant positive MAGeCK score are growth restrictive genes in the LNCaP cell line, their KO results in increased proliferation	BioGRID ORCS	Cell-essential genes and growth restrictive genes
100	28145866	pubmed	Krall EB (2017)	3-PMID28145866	20307	20307	Yes	84	STARS	Score Significance	Score.3 (FDR) < 0.1	High Throughput	Positive Selection	Pool	Drug Exposure	21 Days	Trametinib	50.0 nM	-	GECKO v2	CRISPRn	Knockout	Cas9	CALU1	Lung Cancer Cell Line	response to chemicals	4	STARS Score	p-Value	FDR	q-Value	-	9606	H. sapiens	Phenotypic readout: cell proliferation	BioGRID ORCS	Increased drug resistance
101	28145866	pubmed	Krall EB (2017)	4-PMID28145866	20703	20703	Yes	10	STARS	Score Significance	Score.3 (FDR) < 0.1	High Throughput	Positive Selection	Pool	Drug Exposure	21 Days	Trametinib	1.5 µM	-	GECKO v2	CRISPRn	Knockout	Cas9	NCI-H1299	Lung Cancer Cell Line	response to chemicals	4	STARS Score	p-Value	FDR	q-Value	-	9606	H. sapiens	Phenotypic readout: cell proliferation	BioGRID ORCS	Increased drug resistance
102	28145866	pubmed	Krall EB (2017)	2-PMID28145866	20620	20620	Yes	14	STARS	Score Significance	Score.3 (FDR) < 0.1	High Throughput	Positive Selection	Pool	Drug Exposure	21 Days	Vemurafenib	6.25 µM	-	GECKO v2	CRISPRn	Knockout	Cas9	HCC0364	Lung Cancer Cell Line	response to chemicals	4	STARS Score	p-Value	FDR	q-Value	-	9606	H. sapiens	Phenotypic readout: cell proliferation	BioGRID ORCS	Increased drug resistance
103	24336569	pubmed	Wang T (2014)	3-PMID24336569	7114	7114	Yes	321	Kolmogorov-Smirnov	Score Significance	Score.2 (Log10 (Corrected p-Value)) > 1.3	High Throughput	Negative Selection	Pool	Timecourse	12 Doublings	-	-	-	Human CRISPR Knockout Pooled Libraries (Enriched Sub-pools)	CRISPRn	Knockout	Cas9	KBM-7	Chronic Myeloid Leukemia Cell Line	cell proliferation	2	Essentiality Score	Log10 (Corrected p-Value)	-	-	-	9606	H. sapiens	The threshold used to determine significant genes is -log10(corrected p-value)>1.3	BioGRID ORCS	Cell-essential genes
104	24336569	pubmed	Wang T (2014)	4-PMID24336569	7114	7114	Yes	59	Kolmogorov-Smirnov	Score Significance	Score.2 (Log10 (Corrected p-Value)) > 1.3	High Throughput	Negative Selection	Pool	Timecourse	12 Doublings	-	-	-	Human CRISPR Knockout Pooled Libraries (Enriched Sub-pools)	CRISPRn	Knockout	Cas9	HL-60	Acute Myeloid Leukemia Cell Line	cell proliferation	2	Essentiality Score	Log10 (Corrected p-Value)	-	-	-	9606	H. sapiens	The threshold used to determine significant genes is -log10(corrected p-value)>1.3	BioGRID ORCS	Cell-essential genes
141	27869803	pubmed	Steinhart Z (2017)	1-PMID27869803	17226	17226	Yes	2174	BAGEL	Score Significance	Score.1 (Bayes Factor) > 3.0	High Throughput	Negative Selection	Pool	Timecourse	20 Doublings	-	-	= 0.3	TKO (Toronto Knockout) v1	CRISPRn	Knockout	Cas9	HPAF-2	Pancreatic Adenocarcinoma Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Bayes Factor (BF) above the threshold of 3.00 at an FDR of 5% (FDR < 0.05) were identified as fitness genes (hits) for this cell line in this CRISPR screen.	BioGRID ORCS	Cell-essential genes
142	27869803	pubmed	Steinhart Z (2017)	2-PMID27869803	17226	17226	Yes	2072	BAGEL	Score Significance	Score.1 (Bayes Factor) > 1.43	High Throughput	Negative Selection	Pool	Timecourse	20 Doublings	-	-	= 0.3	TKO (Toronto Knockout) v1	CRISPRn	Knockout	Cas9	PA-TU-8988S	Pancreatic Adenocarcinoma Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Bayes Factor (BF) above the threshold of 1.43 at an FDR of 5% (FDR < 0.05) were identified as fitness genes (hits) for this cell line in this CRISPR screen.	BioGRID ORCS	Cell-essential genes
143	27869803	pubmed	Steinhart Z (2017)	3-PMID27869803	17226	17226	Yes	936	BAGEL	Score Significance	Score.1 (Bayes Factor) > 5.0	High Throughput	Negative Selection	Pool	Timecourse	20 Doublings	-	-	= 0.3	TKO (Toronto Knockout) v1	CRISPRn	Knockout	Cas9	AsPC1	Pancreatic Adenocarcinoma Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	9606	H. sapiens	Genes with a Bayes Factor (BF) above the threshold of 5.00 at an FDR of 5% (FDR < 0.05) were identified as fitness genes (hits) for this cell line in this CRISPR screen.	BioGRID ORCS	Cell-essential genes
149	26472758	pubmed	Wang T (2015)	1-PMID26472758	18166	18166	Yes	1878	Kolmogorov-Smirnov	Score Significance	Score.1 (CRISPR Score (CS)) < -0.1 AND Score.2 (p-Value) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	14 Doublings	-	-	-	Human Activity-optimized genome-wide library	CRISPRn	Knockout	Cas9	KBM-7	Chronic Myeloid Leukemia Cell Line	cell proliferation	2	CRISPR Score (CS)	p-Value	-	-	-	9606	H. sapiens	Genes with a CRISPR Score (CS) < -0.1 and corrected p-value < 0.05 are considered significant.	BioGRID ORCS	Cell-essential genes
150	26472758	pubmed	Wang T (2015)	2-PMID26472758	18166	18166	Yes	1660	Kolmogorov-Smirnov	Score Significance	Score.1 (CRISPR Score (CS)) < -0.1 AND Score.2 (p-Value) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	14 Doublings	-	-	-	Human Activity-optimized genome-wide library	CRISPRn	Knockout	Cas9	K-562	Chronic Myeloid Leukemia Cell Line	cell proliferation	2	CRISPR Score (CS)	p-Value	-	-	-	9606	H. sapiens	Genes with a CRISPR Score (CS) < -0.1 and corrected p-value < 0.05 are considered significant.	BioGRID ORCS	Cell-essential genes
151	26472758	pubmed	Wang T (2015)	3-PMID26472758	18166	18166	Yes	1630	Kolmogorov-Smirnov	Score Significance	Score.1 (CRISPR Score (CS)) < -0.1 AND Score.2 (p-Value) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	14 Doublings	-	-	-	Human Activity-optimized genome-wide library	CRISPRn	Knockout	Cas9	Jiyoye	Burkitt Lymphoma Cell Line	cell proliferation	2	CRISPR Score (CS)	p-Value	-	-	-	9606	H. sapiens	Genes with a CRISPR Score (CS) < -0.1 and corrected p-value < 0.05 are considered significant.	BioGRID ORCS	Cell-essential genes
152	26472758	pubmed	Wang T (2015)	4-PMID26472758	18166	18166	Yes	1464	Kolmogorov-Smirnov	Score Significance	Score.1 (CRISPR Score (CS)) < -0.1 AND Score.2 (p-Value) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	14 Doublings	-	-	-	Human Activity-optimized genome-wide library	CRISPRn	Knockout	Cas9	RAJI	Burkitt Lymphoma Cell Line	cell proliferation	2	CRISPR Score (CS)	p-Value	-	-	-	9606	H. sapiens	Genes with a CRISPR Score (CS) < -0.1 and corrected p-value < 0.05 are considered significant.	BioGRID ORCS	Cell-essential genes
153	29038160	pubmed	Bertomeu T (2017)	1-PMID29038160	18907	18907	Yes	2236	RANKS	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	15 Days	-	-	= 0.5	Extended Knockout Library (EKO)	CRISPRn	Knockout	Cas9	NALM-6	Pre-B Acute Lymphoblastic Leukemia Cell Line	cell proliferation	2	RANKS score	FDR	-	-	-	9606	H. sapiens	Genes with a corrected RANKS score and an FDR < 0.05 were considered significant and essential in the NALM6 cell line.	BioGRID ORCS	Cell-essential genes
154	27760321	pubmed	Tzelepis K (2016)	1-PMID27760321	18009	18009	Yes	2151	MaGeCK	Score Significance	Score.2 (FDR) < 0.2	High Throughput	Negative Selection	Pool	Timecourse	25 Days	-	-	-	Human Improved Genome-wide Knockout CRISPR Library	CRISPRn	Knockout	Cas9	HT-29	Colonic Adenocarcinoma Cell Line	cell proliferation	2	MaGeCK Score	FDR	-	-	-	9606	H. sapiens	Depleted genes were identified at a cutoff of FDR 20% (FDR < 0.2).	BioGRID ORCS	Cell-essential genes
155	27760321	pubmed	Tzelepis K (2016)	2-PMID27760321	18009	18009	Yes	1278	MaGeCK	Score Significance	Score.2 (FDR) < 0.2	High Throughput	Negative Selection	Pool	Timecourse	25 Days	-	-	-	Human Improved Genome-wide Knockout CRISPR Library	CRISPRn	Knockout	Cas9	HL-60	Acute Myeloid Leukemia Cell Line	cell proliferation	2	MaGeCK Score	FDR	-	-	-	9606	H. sapiens	Depleted genes were identified at a cutoff of FDR 20% (FDR < 0.2).	BioGRID ORCS	Cell-essential genes
156	27760321	pubmed	Tzelepis K (2016)	3-PMID27760321	18009	18009	Yes	1730	MaGeCK	Score Significance	Score.2 (FDR) < 0.2	High Throughput	Negative Selection	Pool	Timecourse	25 Days	-	-	-	Human Improved Genome-wide Knockout CRISPR Library	CRISPRn	Knockout	Cas9	HT-1080	Fibrosarcoma Cell Line	cell proliferation	2	MaGeCK Score	FDR	-	-	-	9606	H. sapiens	Depleted genes were identified at a cutoff of FDR 20% (FDR < 0.2).	BioGRID ORCS	Cell-essential genes
157	28474669	pubmed	Morgens DW (2017)	2-PMID28474669	20533	20533	Yes	2375	CasTLE	Column Significance	-	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	-	Bassik Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	RAMOS	Burkitt Lymphoma Cell Line	cell proliferation	2	CasTLE Score	p-Value	-	-	-	9606	H. sapiens	authors used a cut-off of FDR<= 10% to determine significance	BioGRID ORCS	Cell-essential genes
